view,domain,surface,code,name,n,k,share,lo,hi,pv_share
all,影视,assistant_top1k,U03,事实与数值,955,11,0.011518324607329843,0.006443579376559755,0.02050727465397042,0.016203048818573616
all,影视,assistant_top1k,U04,解释与介绍,955,72,0.07539267015706806,0.06029559523648839,0.09389212461212892,0.05971980850274276
all,影视,assistant_top1k,U05,核实与动态,955,17,0.01780104712041885,0.011143291932029611,0.028322663654377987,0.011294370083513673
all,影视,assistant_top1k,U06,办事与操作,955,1,0.0010471204188481676,0.00018486163062708628,0.0059074898067740435,0.0006172590026123283
all,影视,assistant_top1k,U07,个案判断与建议,955,0,0.0,0.0,0.004006501178088226,0.0
all,影视,assistant_top1k,U08,清单与推荐,955,101,0.10575916230366492,0.08780906004921185,0.12686831731947967,0.12323135087867554
all,影视,assistant_top1k,U09,获取现成内容,955,252,0.2638743455497382,0.23690736644553428,0.2927334000794057,0.24108740460960204
all,影视,assistant_top1k,U10,生成与编辑,955,36,0.03769633507853403,0.02735151309418176,0.051745597419171015,0.03166391716972051
all,影视,assistant_top1k,U11,会话与系统指令,955,13,0.013612565445026177,0.007972217724537803,0.023150336824618173,0.014557024811607408
all,影视,assistant_top1k,U12,违规或灰色内容,955,10,0.010471204188481676,0.005697497559229333,0.019167506211987935,0.00498216194965665
all,影视,assistant_top1k,U13,无法判定,955,127,0.13298429319371727,0.11291153695313184,0.15599794715769522,0.14889168941584519
all,影视,assistant_random1k,U01,导航直达,982,8,0.008146639511201629,0.004133651976583247,0.015992907908899366,
all,影视,assistant_random1k,U02,裸实体,982,78,0.07942973523421588,0.06410922675066402,0.09802797662967619,
all,影视,assistant_random1k,U03,事实与数值,982,75,0.07637474541751528,0.06136389136987999,0.09468714157496633,
all,影视,assistant_random1k,U04,解释与介绍,982,144,0.14663951120162932,0.1258912889397546,0.1701416640214513,
all,影视,assistant_random1k,U05,核实与动态,982,43,0.04378818737270876,0.03266937923185989,0.05846250240105151,
all,影视,assistant_random1k,U06,办事与操作,982,21,0.021384928716904276,0.01402888904478178,0.032471076061174386,
all,影视,assistant_random1k,U07,个案判断与建议,982,31,0.031568228105906315,0.022327307361410392,0.044459892529525424,
all,影视,assistant_random1k,U08,清单与推荐,982,121,0.12321792260692464,0.10411567964629884,0.14525663330945385,
all,影视,assistant_random1k,U09,获取现成内容,982,175,0.17820773930753564,0.1555398666430516,0.20338351415159125,
all,影视,assistant_random1k,U10,生成与编辑,982,68,0.06924643584521385,0.054988553995520814,0.08686141459983975,
all,影视,assistant_random1k,U11,会话与系统指令,982,30,0.03054989816700611,0.021481732452232886,0.04327674396020496,
all,影视,assistant_random1k,U12,违规或灰色内容,982,10,0.010183299389002037,0.00554058724272869,0.018643419599749855,
all,影视,assistant_random1k,U13,无法判定,982,178,0.18126272912423624,0.15842471778558095,0.20658483344455578,
all,人物,search_top1000,U01,导航直达,1000,25,0.025,0.016990011790561223,0.036645541866509784,0.014492507735765511
all,人物,search_top1000,U02,裸实体,1000,541,0.541,0.5100158973406579,0.5716702969752581,0.7044618562061641
all,人物,search_top1000,U03,事实与数值,1000,38,0.038,0.027808845539615407,0.05172720875420944,0.02064694871872687
all,人物,search_top1000,U04,解释与介绍,1000,345,0.345,0.3161799875785417,0.3750063509832394,0.20197152397149387
all,人物,search_top1000,U05,核实与动态,1000,2,0.002,0.000548632102457155,0.007262958889587807,0.000936249263103965
all,人物,search_top1000,U06,办事与操作,1000,0,0.0,0.0,0.003826898586390522,0.0
all,人物,search_top1000,U07,个案判断与建议,1000,0,0.0,0.0,0.003826898586390522,0.0
all,人物,search_top1000,U08,清单与推荐,1000,23,0.023,0.015374164302931469,0.0342766969484851,0.0427730661303107
all,人物,search_top1000,U09,获取现成内容,1000,10,0.01,0.005440695309270557,0.01830966530539216,0.007101682452829693
all,人物,search_top1000,U10,生成与编辑,1000,0,0.0,0.0,0.003826898586390522,0.0
all,人物,search_top1000,U11,会话与系统指令,1000,0,0.0,0.0,0.003826898586390522,0.0
all,人物,search_top1000,U12,违规或灰色内容,1000,6,0.006,0.0027526315709082315,0.013028344232445605,0.0032567996954680806
all,人物,search_top1000,U13,无法判定,1000,10,0.01,0.005440695309270557,0.01830966530539216,0.004359365826137222
all,人物,search_top10k,U01,导航直达,9982,175,0.01753155680224404,0.015136335125128615,0.02029799421572534,0.015889661487659874
all,人物,search_top10k,U02,裸实体,9982,5272,0.5281506712081747,0.5183484460984251,0.5379312369279909,0.6287346877321233
